Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,22.000000,22.312500,20.250000,20.250000,10.977419,3011300
2000-01-04,20.000000,21.312500,20.000000,20.937500,11.350107,3593500
2000-01-05,21.250000,21.625000,20.500000,21.062500,11.417871,1721200
2000-01-06,21.000000,21.750000,21.000000,21.375000,11.587275,1750700
2000-01-07,21.750000,22.062500,21.187500,21.437500,11.621161,2203200
2000-01-10,21.375000,21.500000,20.562500,20.625000,11.180701,1361000
2000-01-11,20.500000,20.750000,19.750000,19.937500,10.808012,2236100
2000-01-12,20.000000,21.250000,20.000000,21.187500,11.485628,3562400
2000-01-13,21.437500,21.437500,20.562500,20.750000,11.248470,2871700
2000-01-14,20.750000,20.937500,20.500000,20.500000,11.112945,1609300
2000-01-18,21.000000,21.250000,19.750000,20.000000,10.841895,3763800
2000-01-19,20.062500,20.750000,20.000000,20.687500,11.214588,2270500
2000-01-20,20.500000,20.687500,20.375000,20.562500,11.146825,2321600
2000-01-21,20.750000,21.187500,20.625000,21.000000,11.383991,2340600
2000-01-24,20.937500,21.062500,19.562500,19.562500,10.604727,1917000
2000-01-25,19.562500,19.937500,19.125000,19.250000,10.435327,2022500
2000-01-26,19.437500,20.062500,19.250000,20.062500,10.875776,2020300
2000-01-27,19.937500,20.000000,19.000000,19.437500,10.536966,2236300
2000-01-28,19.000000,19.937500,18.312500,18.875000,10.232037,2213200
2000-01-31,18.312500,18.875000,18.187500,18.500000,10.028749,1528600
2000-02-01,18.750000,18.875000,18.375000,18.687500,10.130399,737300
2000-02-02,18.437500,18.812500,18.187500,18.687500,10.130399,1633700
2000-02-03,18.625000,18.937500,18.500000,18.625000,10.096510,1830200
2000-02-04,18.750000,19.312500,18.375000,19.125000,10.367564,2012900
2000-02-07,19.250000,19.500000,18.250000,18.750000,10.164278,1633700
2000-02-08,18.312500,18.375000,17.875000,18.375000,9.960988,2110300
2000-02-09,17.875000,18.500000,17.875000,18.375000,9.960988,1863800
2000-02-10,18.062500,18.500000,18.062500,18.312500,9.927113,1814500
2000-02-11,18.125000,18.312500,17.375000,17.500000,9.486657,1821000
2000-02-14,17.750000,18.125000,17.500000,18.062500,9.791586,1839400
2000-02-15,18.000000,18.187500,17.812500,18.125000,9.825465,1273200
2000-02-16,17.500000,18.062500,17.500000,17.750000,9.622183,1630600
2000-02-17,17.937500,18.250000,17.812500,18.000000,9.757709,4412100
2000-02-18,17.750000,17.875000,17.000000,17.437500,9.452777,1651200
2000-02-22,17.062500,18.000000,17.062500,18.000000,9.757709,1411100
2000-02-23,17.937500,17.937500,17.500000,17.812500,9.656061,1358100
2000-02-24,17.625000,17.687500,17.187500,17.562500,9.520540,1248100
2000-02-25,17.625000,17.937500,17.562500,17.750000,9.622183,1691300
2000-02-28,17.562500,17.625000,17.125000,17.500000,9.486657,1022400
2000-02-29,17.437500,17.875000,17.125000,17.437500,9.452777,1285400
2000-03-01,17.437500,17.687500,17.375000,17.687500,9.588300,1331700
2000-03-02,17.500000,17.562500,17.000000,17.125000,9.341473,1398200
2000-03-03,17.062500,17.187500,16.875000,17.000000,9.273284,1733200
2000-03-06,17.750000,18.250000,17.750000,18.000000,9.818770,3775600
2000-03-07,18.000000,18.000000,17.312500,17.312500,9.443749,1289900
2000-03-08,17.250000,17.625000,17.250000,17.625000,9.614216,2051400
2000-03-09,17.500000,17.500000,17.000000,17.125000,9.341473,1706700
2000-03-10,17.125000,17.125000,16.687500,16.812500,9.171000,2631700
2000-03-13,16.812500,17.000000,16.625000,16.937500,9.239190,1434800
